Mission: Impossible,Action
Kill Bill: Vol. 1,Action
"Crouching Tiger, Hidden Dragon",Action
The Bourne Identity,Action
First Blood,Action
The Avengers,Action
The Matrix,Action
Gladiator,Action
The Terminator,Action
The Lion King,Animation
Finding Nemo,Animation
Toy Story,Animation
Ratatouille,Animation
The Incredibles,Animation
How to Train Your Dragon,Animation
Inside Out,Animation
Zootopia,Animation
Ice Age,Animation
Tangled,Animation
Back to the Future,Comedy
Up,Comedy
The Truman Show,Comedy
The Big Lebowski,Comedy
Shrek,Comedy
Groundhog Day,Comedy
Home Alone,Comedy
Kung Fu Panda,Comedy
Scott Pilgrim vs. the World,Comedy
The Princess Bride,Comedy
The Shawshank Redemption,Drama
Forrest Gump,Drama
Pulp Fiction,Drama
Interstellar,Drama
The Godfather,Drama
Django Unchained,Drama
The Wolf of Wall Street,Drama
The Silence of the Lambs,Drama
Schindler's List,Drama
Titanic,Drama
Psycho,Horror
Get Out,Horror
It,Horror
A Quiet Place,Horror
The Conjuring,Horror
Saw,Horror
The Thing,Horror
The Exorcist,Horror
Predator,Horror
Scream,Horror
La La Land,Romance
The Notebook,Romance
Edward Scissorhands,Romance
Twilight,Romance
Aladdin,Romance
Passengers,Romance
The Fault in Our Stars,Romance
Brokeback Mountain,Romance
50 First Dates,Romance
Yes Man,Romance
Orochi,Samurai
The 47 Ronin,Samurai
Yojimbo,Samurai
Seven Samurai,Samurai
Samurai Assassin,Samurai
The Bushido Blade,Samurai
Shogun's Samurai,Samurai
Legend of the Eight Samurai,Samurai
Kagemusha,Samurai
The Tale of Zatoichi,Samurai
Star Wars: Episode IX - The Rise of Skywalker,Sci-Fi
Star Wars: Episode IV - A New Hope,Sci-Fi
Blade Runner,Sci-Fi
Star Wars: Episode V - The Empire Strikes Back,Sci-Fi
Star Wars: Episode VI - Return of the Jedi,Sci-Fi
Star Wars: Episode I - The Phantom Menace,Sci-Fi
Star Wars: Episode II - Attack of the Clones,Sci-Fi
Star Wars: Episode III - Revenge of the Sith,Sci-Fi
Star Wars: Episode VII - The Force Awakens,Sci-Fi
Star Wars: Episode VIII - The Last Jedi,Sci-Fi
Shutter Island,Thriller
The Departed,Thriller
Memento,Thriller
V for Venetta,Thriller
Reservoir Dogs,Thriller
Jurassic Park,Thriller
Gone Girl,Thriller
The Sixth Sense,Thriller
Now You See Me,Thriller
Jaws,Thriller
The Hateful Eight,Western
Rango,Western
The Lone Ranger,Western
The Magnificent Seven,Western
Butch Cassidy and the Sundance Kid,Western
Blazing Saddles,Western
"The Good, the Bad and the Ugly",Western
A Fistful of Dollars,Western
For a Few Dollars More,Western



Westworld,Western
Dune,Sci-Fi
Dune: Part Two,Sci-Fi
